segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days
17,10,METEOSAT 11 GEOS Rad. Allsky,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1438,1482,232,44,13,2018.148087,2019.685524,1.537438,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14655,15216,2018,55,2018-D055,2019,251,2019-D251,562
18,11,METEOSAT 10 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1293,1376,251,83,13,2013.081531,2015.981697,2.900166,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12805,13864,2013,30,2013-D030,2015,359,2015-D359,1060
19,11,METEOSAT 10 GEOS Rad. Allsky,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1377,1437,251,60,13,2016.016639,2018.113145,2.096506,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13877,14642,2016,7,2016-D007,2018,42,2018-D042,766
20,12,METEOSAT 9 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1126,1175,270,49,13,2007.246256,2008.958403,1.712146,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10675,11300,2007,90,2007-D090,2008,350,2008-D350,626
21,12,METEOSAT 9 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1177,1185,270,8,13,2009.028286,2009.30782,0.279534,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11326,11428,2009,11,2009-D011,2009,113,2009-D113,103
22,12,METEOSAT 9 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1187,1293,270,106,13,2009.377704,2013.081531,3.703827,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11453,12805,2009,138,2009-D138,2013,30,2013-D030,1353
23,13,METEOSAT 8 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1043,1063,290,20,13,2004.34609,2005.044925,0.698835,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9617,9872,2004,127,2004-D127,2005,17,2005-D017,256
24,13,METEOSAT 8 GEOS Rad. Allsky,Geostationary radiances,False,blue,thick,blue_thick,reprocessed relative to those assimilated in ERA-Interim,visible_color_bar,1065,1127,290,62,13,2005.114809,2007.281198,2.166389,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9897,10688,2005,42,2005-D042,2007,103,2007-D103,792
25,13,METEOSAT 8 GEOS Rad. Allsky,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1410,1482,290,72,13,2017.169717,2019.685524,2.515807,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14297,15216,2017,62,2017-D062,2019,251,2019-D251,920
26,14,METEOSAT 7 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,957,1044,309,87,13,2001.341098,2004.381032,3.039933,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,8520,9630,2001,125,2001-D125,2004,140,2004-D140,1111
27,14,METEOSAT 7 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1063,1066,309,3,13,2005.044925,2005.14975,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9872,9910,2005,17,2005-D017,2005,55,2005-D055,39
28,14,METEOSAT 7 GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1300,1304,309,4,12,2013.326123,2013.46589,0.139767,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12895,12946,2013,120,2013-D120,2013,171,2013-D171,52
29,14,METEOSAT 7 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1122,1410,309,288,13,2007.106489,2017.169717,10.063228,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10624,14297,2007,39,2007-D039,2017,62,2017-D062,3674
30,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1013,1024,328,11,13,2003.297837,2003.682196,0.384359,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9234,9375,2003,109,2003-D109,2003,250,2003-D250,142
