segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days,normalized_sensor,normalized_satellite,match_key,era5_active_from_color,era_interim_active_from_color,era_source_right_edge_segment,original_end_abs_day,original_end_day_label,original_end_date_365,era_interim_clipped_start_day_label,era_interim_clipped_end_day_label,extension_interval_count
34,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1104,1122,328,18,13,2006.477537,2007.106489,0.628952,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10395,10624,2006,175,2006-D175,2007,39,2007-D039,230,GEOS,METEOSAT 5,GEOS|METEOSAT 5,True,True,False,10624,2007-D039,2007-02-08,2006-D175,2007-D039,0
35,16,Himawari 8 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1375,1482,347,107,13,2015.946755,2019.685524,3.738769,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13851,15216,2015,346,2015-D346,2019,251,2019-D251,1366,AHI,HIMAWARI 8,AHI|HIMAWARI 8,True,True,True,15216,2019-D251,2019-09-08,2015-D346,2019-D251,4
36,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1235,1259,367,24,13,2011.054908,2011.893511,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12066,12372,2011,21,2011-D021,2011,327,2011-D327,307,IMAGER,MTSAT-2,IMAGER|MTSAT-2,True,False,False,12372,2011-D327,2011-11-23,,,0
37,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1263,1287,367,24,13,2012.033278,2012.87188,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12423,12729,2012,13,2012-D013,2012,319,2012-D319,307,IMAGER,MTSAT-2,IMAGER|MTSAT-2,True,False,False,12729,2012-D319,2012-11-15,,,0
38,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1293,1314,367,21,13,2013.081531,2013.815308,0.733777,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12805,13073,2013,30,2013-D030,2013,298,2013-D298,269,IMAGER,MTSAT-2,IMAGER|MTSAT-2,True,False,False,13073,2013-D298,2013-10-25,,,0
39,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1320,1344,367,24,13,2014.024958,2014.863561,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13150,13456,2014,10,2014-D010,2014,316,2014-D316,307,IMAGER,MTSAT-2,IMAGER|MTSAT-2,True,False,False,13456,2014-D316,2014-11-12,,,0
40,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1348,1377,367,29,13,2015.003328,2016.016639,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13507,13877,2015,2,2015-D002,2016,7,2016-D007,371,IMAGER,MTSAT-2,IMAGER|MTSAT-2,True,False,False,13877,2016-D007,2016-01-07,,,0
41,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1181,1182,386,1,11,2009.168053,2009.202995,0.034942,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11377,11390,2009,62,2009-D062,2009,75,2009-D075,14,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,True,False,False,11390,2009-D075,2009-03-16,,,0
42,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1285,1290,386,5,13,2012.801997,2012.976705,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12703,12767,2012,293,2012-D293,2012,357,2012-D357,65,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,True,False,False,12767,2012-D357,2012-12-23,,,0
43,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1313,1319,386,6,13,2013.780366,2013.990017,0.209651,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13060,13137,2013,285,2013-D285,2013,362,2013-D362,78,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,True,False,False,13137,2013-D362,2013-12-28,,,0
